params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
							dilate(src: cv2.typing.MatLike, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike	ellipse(img: UMat, center: cv2.typing.Point, axes: cv2.typing.Size, angle: float, startAngle: float, endAngle: float, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> UMat
							dilate(src: UMat, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> UMat	ellipse(img: cv2.typing.MatLike, box: cv2.typing.RotatedRect, color: cv2.typing.Scalar, thickness: int, lineType: int) -> cv2.typing.MatLike
							displayOverlay(winname: str, text: str, delayms: int) -> None	ellipse(img: UMat, box: cv2.typing.RotatedRect, color: cv2.typing.Scalar, thickness: int, lineType: int) -> UMat
							displayStatusBar(winname: str, text: str, delayms: int) -> None	empty_array_desc() -> GArrayDesc
							distanceTransform(src: cv2.typing.MatLike, distanceType: int, maskSize: int, dst: cv2.typing.MatLike | None, dstType: int) -> cv2.typing.MatLike	empty_gopaque_desc() -> GOpaqueDesc
							distanceTransform(src: UMat, distanceType: int, maskSize: int, dst: UMat | None, dstType: int) -> UMat	empty_scalar_desc() -> GScalarDesc
							distanceTransformWithLabels(src: cv2.typing.MatLike, distanceType: int, maskSize: int, dst: cv2.typing.MatLike | None, labels: cv2.typing.MatLike | None, labelType: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	equalizeHist(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							distanceTransformWithLabels(src: UMat, distanceType: int, maskSize: int, dst: UMat | None, labels: UMat | None, labelType: int) -> tuple[UMat, UMat]	equalizeHist(src: UMat, dst: UMat | None) -> UMat
							divSpectrums(a: cv2.typing.MatLike, b: cv2.typing.MatLike, flags: int, c: cv2.typing.MatLike | None, conjB: bool) -> cv2.typing.MatLike	erode(src: cv2.typing.MatLike, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike
							divSpectrums(a: UMat, b: UMat, flags: int, c: UMat | None, conjB: bool) -> UMat	erode(src: UMat, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> UMat
							divide(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, scale: float, dtype: int) -> cv2.typing.MatLike	estimateAffine2D(from_: cv2.typing.MatLike, to: cv2.typing.MatLike, inliers: cv2.typing.MatLike | None, method: int, ransacReprojThreshold: float, maxIters: int, confidence: float, refineIters: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							divide(src1: UMat, src2: UMat, dst: UMat | None, scale: float, dtype: int) -> UMat	estimateAffine2D(from_: UMat, to: UMat, inliers: UMat | None, method: int, ransacReprojThreshold: float, maxIters: int, confidence: float, refineIters: int) -> tuple[cv2.typing.MatLike, UMat]
							divide(scale: float, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, dtype: int) -> cv2.typing.MatLike	estimateAffine3D(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, out: cv2.typing.MatLike | None, inliers: cv2.typing.MatLike | None, ransacThreshold: float, confidence: float) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike]
							divide(scale: float, src2: UMat, dst: UMat | None, dtype: int) -> UMat	estimateAffine3D(src: UMat, dst: UMat, out: UMat | None, inliers: UMat | None, ransacThreshold: float, confidence: float) -> tuple[int, UMat, UMat]
							drawChessboardCorners(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike, patternWasFound: bool) -> cv2.typing.MatLike	estimateAffine3D(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, force_rotation: bool) -> tuple[cv2.typing.MatLike, float]
							drawChessboardCorners(image: UMat, patternSize: cv2.typing.Size, corners: UMat, patternWasFound: bool) -> UMat	estimateAffine3D(src: UMat, dst: UMat, force_rotation: bool) -> tuple[cv2.typing.MatLike, float]
							drawContours(image: cv2.typing.MatLike, contours: _typing.Sequence[cv2.typing.MatLike], contourIdx: int, color: cv2.typing.Scalar, thickness: int, lineType: int, hierarchy: cv2.typing.MatLike | None, maxLevel: int, offset: cv2.typing.Point) -> cv2.typing.MatLike	estimateAffinePartial2D(from_: cv2.typing.MatLike, to: cv2.typing.MatLike, inliers: cv2.typing.MatLike | None, method: int, ransacReprojThreshold: float, maxIters: int, confidence: float, refineIters: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							drawContours(image: UMat, contours: _typing.Sequence[UMat], contourIdx: int, color: cv2.typing.Scalar, thickness: int, lineType: int, hierarchy: UMat | None, maxLevel: int, offset: cv2.typing.Point) -> UMat	estimateAffinePartial2D(from_: UMat, to: UMat, inliers: UMat | None, method: int, ransacReprojThreshold: float, maxIters: int, confidence: float, refineIters: int) -> tuple[cv2.typing.MatLike, UMat]
							drawFrameAxes(image: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, rvec: cv2.typing.MatLike, tvec: cv2.typing.MatLike, length: float, thickness: int) -> cv2.typing.MatLike	estimateChessboardSharpness(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike, rise_distance: float, vertical: bool, sharpness: cv2.typing.MatLike | None) -> tuple[cv2.typing.Scalar, cv2.typing.MatLike]
							drawFrameAxes(image: UMat, cameraMatrix: UMat, distCoeffs: UMat, rvec: UMat, tvec: UMat, length: float, thickness: int) -> UMat	estimateChessboardSharpness(image: UMat, patternSize: cv2.typing.Size, corners: UMat, rise_distance: float, vertical: bool, sharpness: UMat | None) -> tuple[cv2.typing.Scalar, UMat]
							drawKeypoints(image: cv2.typing.MatLike, keypoints: _typing.Sequence[KeyPoint], outImage: cv2.typing.MatLike, color: cv2.typing.Scalar, flags: DrawMatchesFlags) -> cv2.typing.MatLike	estimateTranslation3D(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, out: cv2.typing.MatLike | None, inliers: cv2.typing.MatLike | None, ransacThreshold: float, confidence: float) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike]
							drawKeypoints(image: UMat, keypoints: _typing.Sequence[KeyPoint], outImage: UMat, color: cv2.typing.Scalar, flags: DrawMatchesFlags) -> UMat	estimateTranslation3D(src: UMat, dst: UMat, out: UMat | None, inliers: UMat | None, ransacThreshold: float, confidence: float) -> tuple[int, UMat, UMat]
							drawMarker(img: cv2.typing.MatLike, position: cv2.typing.Point, color: cv2.typing.Scalar, markerType: int, markerSize: int, thickness: int, line_type: int) -> cv2.typing.MatLike	exp(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							drawMarker(img: UMat, position: cv2.typing.Point, color: cv2.typing.Scalar, markerType: int, markerSize: int, thickness: int, line_type: int) -> UMat	exp(src: UMat, dst: UMat | None) -> UMat
							drawMatches(img1: cv2.typing.MatLike, keypoints1: _typing.Sequence[KeyPoint], img2: cv2.typing.MatLike, keypoints2: _typing.Sequence[KeyPoint], matches1to2: _typing.Sequence[DMatch], outImg: cv2.typing.MatLike, matchColor: cv2.typing.Scalar, singlePointColor: cv2.typing.Scalar, matchesMask: _typing.Sequence[str], flags: DrawMatchesFlags) -> cv2.typing.MatLike	extractChannel(src: cv2.typing.MatLike, coi: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							drawMatches(img1: UMat, keypoints1: _typing.Sequence[KeyPoint], img2: UMat, keypoints2: _typing.Sequence[KeyPoint], matches1to2: _typing.Sequence[DMatch], outImg: UMat, matchColor: cv2.typing.Scalar, singlePointColor: cv2.typing.Scalar, matchesMask: _typing.Sequence[str], flags: DrawMatchesFlags) -> UMat	extractChannel(src: UMat, coi: int, dst: UMat | None) -> UMat
							drawMatches(img1: cv2.typing.MatLike, keypoints1: _typing.Sequence[KeyPoint], img2: cv2.typing.MatLike, keypoints2: _typing.Sequence[KeyPoint], matches1to2: _typing.Sequence[DMatch], outImg: cv2.typing.MatLike, matchesThickness: int, matchColor: cv2.typing.Scalar, singlePointColor: cv2.typing.Scalar, matchesMask: _typing.Sequence[str], flags: DrawMatchesFlags) -> cv2.typing.MatLike	fastAtan2(y: float, x: float) -> float
							drawMatches(img1: UMat, keypoints1: _typing.Sequence[KeyPoint], img2: UMat, keypoints2: _typing.Sequence[KeyPoint], matches1to2: _typing.Sequence[DMatch], outImg: UMat, matchesThickness: int, matchColor: cv2.typing.Scalar, singlePointColor: cv2.typing.Scalar, matchesMask: _typing.Sequence[str], flags: DrawMatchesFlags) -> UMat	fastNlMeansDenoising(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, h: float, templateWindowSize: int, searchWindowSize: int) -> cv2.typing.MatLike
							drawMatchesKnn(img1: cv2.typing.MatLike, keypoints1: _typing.Sequence[KeyPoint], img2: cv2.typing.MatLike, keypoints2: _typing.Sequence[KeyPoint], matches1to2: _typing.Sequence[_typing.Sequence[DMatch]], outImg: cv2.typing.MatLike, matchColor: cv2.typing.Scalar, singlePointColor: cv2.typing.Scalar, matchesMask: _typing.Sequence[_typing.Sequence[str]], flags: DrawMatchesFlags) -> cv2.typing.MatLike	fastNlMeansDenoising(src: UMat, dst: UMat | None, h: float, templateWindowSize: int, searchWindowSize: int) -> UMat
							drawMatchesKnn(img1: UMat, keypoints1: _typing.Sequence[KeyPoint], img2: UMat, keypoints2: _typing.Sequence[KeyPoint], matches1to2: _typing.Sequence[_typing.Sequence[DMatch]], outImg: UMat, matchColor: cv2.typing.Scalar, singlePointColor: cv2.typing.Scalar, matchesMask: _typing.Sequence[_typing.Sequence[str]], flags: DrawMatchesFlags) -> UMat	fastNlMeansDenoisingColored(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, h: float, hColor: float, templateWindowSize: int, searchWindowSize: int) -> cv2.typing.MatLike
							edgePreservingFilter(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int, sigma_s: float, sigma_r: float) -> cv2.typing.MatLike	fastNlMeansDenoisingColored(src: UMat, dst: UMat | None, h: float, hColor: float, templateWindowSize: int, searchWindowSize: int) -> UMat
							edgePreservingFilter(src: UMat, dst: UMat | None, flags: int, sigma_s: float, sigma_r: float) -> UMat	fillConvexPoly(img: cv2.typing.MatLike, points: cv2.typing.MatLike, color: cv2.typing.Scalar, lineType: int, shift: int) -> cv2.typing.MatLike
							eigen(src: cv2.typing.MatLike, eigenvalues: cv2.typing.MatLike | None, eigenvectors: cv2.typing.MatLike | None) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]	fillConvexPoly(img: UMat, points: UMat, color: cv2.typing.Scalar, lineType: int, shift: int) -> UMat
							eigen(src: UMat, eigenvalues: UMat | None, eigenvectors: UMat | None) -> tuple[bool, UMat, UMat]	filter2D(src: cv2.typing.MatLike, ddepth: int, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, delta: float, borderType: int) -> cv2.typing.MatLike
							eigenNonSymmetric(src: cv2.typing.MatLike, eigenvalues: cv2.typing.MatLike | None, eigenvectors: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	filter2D(src: UMat, ddepth: int, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, delta: float, borderType: int) -> UMat
							eigenNonSymmetric(src: UMat, eigenvalues: UMat | None, eigenvectors: UMat | None) -> tuple[UMat, UMat]	filterSpeckles(img: cv2.typing.MatLike, newVal: float, maxSpeckleSize: int, maxDiff: float, buf: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							ellipse(img: cv2.typing.MatLike, center: cv2.typing.Point, axes: cv2.typing.Size, angle: float, startAngle: float, endAngle: float, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> cv2.typing.MatLike	filterSpeckles(img: UMat, newVal: float, maxSpeckleSize: int, maxDiff: float, buf: UMat | None) -> tuple[UMat, UMat]
							ellipse(img: UMat, center: cv2.typing.Point, axes: cv2.typing.Size, angle: float, startAngle: float, endAngle: float, color: cv2.typing.Scalar, thickness: int, lineType: int, shift: int) -> UMat	find4QuadCornerSubpix(img: cv2.typing.MatLike, corners: cv2.typing.MatLike, region_size: cv2.typing.Size) -> tuple[bool, cv2.typing.MatLike]
							ellipse(img: cv2.typing.MatLike, box: cv2.typing.RotatedRect, color: cv2.typing.Scalar, thickness: int, lineType: int) -> cv2.typing.MatLike	find4QuadCornerSubpix(img: UMat, corners: UMat, region_size: cv2.typing.Size) -> tuple[bool, UMat]
							ellipse(img: UMat, box: cv2.typing.RotatedRect, color: cv2.typing.Scalar, thickness: int, lineType: int) -> UMat	findChessboardCorners(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike | None, flags: int) -> tuple[bool, cv2.typing.MatLike]
							ellipse2Poly(center: cv2.typing.Point, axes: cv2.typing.Size, angle: int, arcStart: int, arcEnd: int, delta: int) -> _typing.Sequence[cv2.typing.Point]	findChessboardCorners(image: UMat, patternSize: cv2.typing.Size, corners: UMat | None, flags: int) -> tuple[bool, UMat]
							empty_array_desc() -> GArrayDesc	findChessboardCornersSB(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, corners: cv2.typing.MatLike | None, flags: int) -> tuple[bool, cv2.typing.MatLike]
							empty_gopaque_desc() -> GOpaqueDesc	findChessboardCornersSB(image: UMat, patternSize: cv2.typing.Size, corners: UMat | None, flags: int) -> tuple[bool, UMat]
							empty_scalar_desc() -> GScalarDesc	findChessboardCornersSBWithMeta(image: cv2.typing.MatLike, patternSize: cv2.typing.Size, flags: int, corners: cv2.typing.MatLike | None, meta: cv2.typing.MatLike | None) -> tuple[bool, cv2.typing.MatLike, cv2.typing.MatLike]
							equalizeHist(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	findChessboardCornersSBWithMeta(image: UMat, patternSize: cv2.typing.Size, flags: int, corners: UMat | None, meta: UMat | None) -> tuple[bool, UMat, UMat]
							equalizeHist(src: UMat, dst: UMat | None) -> UMat	findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, method: int, prob: float, threshold: float, maxIters: int, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							erode(src: cv2.typing.MatLike, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike	findEssentialMat(points1: UMat, points2: UMat, cameraMatrix: UMat, method: int, prob: float, threshold: float, maxIters: int, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]
							erode(src: UMat, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> UMat	findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, focal: float, pp: cv2.typing.Point2d, method: int, prob: float, threshold: float, maxIters: int, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							estimateAffine2D(from_: cv2.typing.MatLike, to: cv2.typing.MatLike, inliers: cv2.typing.MatLike | None, method: int, ransacReprojThreshold: float, maxIters: int, confidence: float, refineIters: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	findEssentialMat(points1: UMat, points2: UMat, focal: float, pp: cv2.typing.Point2d, method: int, prob: float, threshold: float, maxIters: int, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]
							estimateAffine2D(from_: UMat, to: UMat, inliers: UMat | None, method: int, ransacReprojThreshold: float, maxIters: int, confidence: float, refineIters: int) -> tuple[cv2.typing.MatLike, UMat]	findEssentialMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, cameraMatrix1: cv2.typing.MatLike, distCoeffs1: cv2.typing.MatLike, cameraMatrix2: cv2.typing.MatLike, distCoeffs2: cv2.typing.MatLike, method: int, prob: float, threshold: float, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							estimateAffine2D(pts1: cv2.typing.MatLike, pts2: cv2.typing.MatLike, params: UsacParams, inliers: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	findEssentialMat(points1: UMat, points2: UMat, cameraMatrix1: UMat, distCoeffs1: UMat, cameraMatrix2: UMat, distCoeffs2: UMat, method: int, prob: float, threshold: float, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]
							estimateAffine2D(pts1: UMat, pts2: UMat, params: UsacParams, inliers: UMat | None) -> tuple[cv2.typing.MatLike, UMat]	findFundamentalMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, method: int, ransacReprojThreshold: float, confidence: float, maxIters: int, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							estimateAffine3D(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, out: cv2.typing.MatLike | None, inliers: cv2.typing.MatLike | None, ransacThreshold: float, confidence: float) -> tuple[int, cv2.typing.MatLike, cv2.typing.MatLike]	findFundamentalMat(points1: UMat, points2: UMat, method: int, ransacReprojThreshold: float, confidence: float, maxIters: int, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]
							estimateAffine3D(src: UMat, dst: UMat, out: UMat | None, inliers: UMat | None, ransacThreshold: float, confidence: float) -> tuple[int, UMat, UMat]	findFundamentalMat(points1: cv2.typing.MatLike, points2: cv2.typing.MatLike, method: int, ransacReprojThreshold: float, confidence: float, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							estimateAffine3D(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, force_rotation: bool) -> tuple[cv2.typing.MatLike, float]	findFundamentalMat(points1: UMat, points2: UMat, method: int, ransacReprojThreshold: float, confidence: float, mask: UMat | None) -> tuple[cv2.typing.MatLike, UMat]
